timestamp,gpu_temp,resolution,percentage,actual_fps,gpu_load,cpu_load
1970-01-01 02:10:15.979,51.375,640,1.0,0.00,81.7,0.0
1970-01-01 02:10:16.486,51.031,640,1.0,17.83,93.0,40.3
1970-01-01 02:10:16.989,51.187,640,1.0,24.22,62.6,22.1
1970-01-01 02:10:17.496,51.375,640,1.0,23.55,97.3,19.3
1970-01-01 02:10:18.000,51.281,640,1.0,24.06,91.8,17.5
1970-01-01 02:10:18.507,51.156,640,1.0,23.93,83.1,18.6
1970-01-01 02:10:19.011,51.531,640,1.0,24.37,90.6,18.5
1970-01-01 02:10:19.518,51.156,640,1.0,24.52,43.1,19.0
1970-01-01 02:10:20.021,51.531,640,1.0,23.26,59.5,22.1
1970-01-01 02:10:20.527,51.562,640,1.0,24.60,85.7,19.9
1970-01-01 02:10:21.030,51.437,640,1.0,24.40,82.3,20.1
1970-01-01 02:10:21.536,51.343,640,1.0,23.79,84.5,22.2
1970-01-01 02:10:22.042,51.687,640,1.0,24.89,92.3,19.2
1970-01-01 02:10:22.548,51.5,640,1.0,24.01,53.9,18.2
1970-01-01 02:10:23.052,51.781,640,1.0,24.73,97.9,19.0
1970-01-01 02:10:23.557,51.656,640,1.0,24.33,94.0,17.8
1970-01-01 02:10:24.061,51.656,640,1.0,24.31,73.8,18.5
1970-01-01 02:10:24.567,51.5,640,1.0,24.55,73.8,19.3
1970-01-01 02:10:25.071,52.031,640,1.0,23.55,48.6,18.4
1970-01-01 02:10:25.577,51.656,640,1.0,23.16,48.2,19.0
1970-01-01 02:10:26.080,51.625,640,1.0,24.70,90.0,19.3
1970-01-01 02:10:26.586,51.656,640,1.0,24.06,75.0,20.4
1970-01-01 02:10:27.090,52.093,640,1.0,24.29,91.8,19.4
1970-01-01 02:10:27.597,51.781,640,1.0,24.26,76.2,19.2
1970-01-01 02:10:28.101,52.062,640,1.0,24.25,84.5,18.7
1970-01-01 02:10:28.608,51.843,640,1.0,24.28,95.7,18.4
1970-01-01 02:10:29.112,51.781,640,1.0,24.61,71.2,18.5
1970-01-01 02:10:29.618,51.906,640,1.0,23.30,72.2,17.8
1970-01-01 02:10:30.121,52.125,640,1.0,24.54,62.0,17.8
1970-01-01 02:10:30.627,51.875,640,1.0,24.16,51.6,19.1
1970-01-01 02:10:31.131,51.937,640,1.0,24.69,90.7,19.5
1970-01-01 02:10:31.637,52.093,640,1.0,23.48,96.0,18.7
1970-01-01 02:10:32.141,51.906,640,1.0,24.73,71.8,18.5
1970-01-01 02:10:32.647,51.875,640,1.0,24.93,51.7,17.8
1970-01-01 02:10:33.151,52.218,640,1.0,23.83,45.7,18.5
1970-01-01 02:10:33.657,52.125,640,1.0,23.83,84.4,18.2
1970-01-01 02:10:34.160,52.093,640,1.0,23.78,74.9,19.1
1970-01-01 02:10:34.666,52.187,640,1.0,24.29,92.1,18.4
1970-01-01 02:10:35.171,52.437,640,1.0,24.16,95.4,19.1
1970-01-01 02:10:35.677,52.125,640,1.0,24.55,88.4,19.2
1970-01-01 02:10:36.181,52.343,640,1.0,24.51,75.7,18.4
1970-01-01 02:10:36.688,52.343,640,1.0,23.66,92.2,20.0
1970-01-01 02:10:37.192,52.218,640,1.0,23.13,91.2,18.5
1970-01-01 02:10:37.698,52.25,640,1.0,23.69,72.7,18.6
1970-01-01 02:10:38.202,52.218,640,1.0,24.50,78.1,18.1
